2017101705,nba.g.1947369,nba.t.5,nba.t.2,https://sports.yahoo.com/nba/boston-celtics-cleveland-cavaliers-2017101705/,Wed, 18 Oct 2017 00:00:00,4389
2017101709,nba.g.1947346,nba.t.9,nba.t.10,https://sports.yahoo.com/nba/houston-rockets-golden-state-warriors-2017101709/,Wed, 18 Oct 2017 02:30:00,4389
2017101808,nba.g.1947111,nba.t.8,nba.t.30,https://sports.yahoo.com/nba/charlotte-hornets-detroit-pistons-2017101808/,Wed, 18 Oct 2017 23:00:00,4390
2017101811,nba.g.1947260,nba.t.11,nba.t.17,https://sports.yahoo.com/nba/brooklyn-nets-indiana-pacers-2017101811/,Wed, 18 Oct 2017 23:00:00,4390
2017101819,nba.g.1947502,nba.t.19,nba.t.14,https://sports.yahoo.com/nba/miami-heat-orlando-magic-2017101819/,Wed, 18 Oct 2017 23:00:00,4390
2017101827,nba.g.1947563,nba.t.27,nba.t.20,https://sports.yahoo.com/nba/philadelphia-76ers-washington-wizards-2017101827/,Wed, 18 Oct 2017 23:00:00,4390
2017101802,nba.g.1947132,nba.t.2,nba.t.15,https://sports.yahoo.com/nba/milwaukee-bucks-boston-celtics-2017101802/,Wed, 18 Oct 2017 23:30:00,4390
2017101829,nba.g.1947666,nba.t.29,nba.t.3,https://sports.yahoo.com/nba/new-orleans-pelicans-memphis-grizzlies-2017101829/,Thu, 19 Oct 2017 00:00:00,4390
2017101806,nba.g.1947705,nba.t.6,nba.t.1,https://sports.yahoo.com/nba/atlanta-hawks-dallas-mavericks-2017101806/,Thu, 19 Oct 2017 00:30:00,4390
2017101826,nba.g.1947145,nba.t.26,nba.t.7,https://sports.yahoo.com/nba/denver-nuggets-utah-jazz-2017101826/,Thu, 19 Oct 2017 01:00:00,4390
2017101824,nba.g.1948151,nba.t.24,nba.t.16,https://sports.yahoo.com/nba/minnesota-timberwolves-san-antonio-spurs-2017101824/,Thu, 19 Oct 2017 01:30:00,4390
2017101821,nba.g.1947244,nba.t.21,nba.t.22,https://sports.yahoo.com/nba/portland-trail-blazers-phoenix-suns-2017101821/,Thu, 19 Oct 2017 02:00:00,4390
2017101823,nba.g.1947578,nba.t.23,nba.t.10,https://sports.yahoo.com/nba/houston-rockets-sacramento-kings-2017101823/,Thu, 19 Oct 2017 02:00:00,4390
2017101829,nba.g.1947666,nba.t.29,nba.t.3,https://sports.yahoo.com/nba/new-orleans-pelicans-memphis-grizzlies-2017101829/,Thu, 19 Oct 2017 00:00:00,4391
2017101806,nba.g.1947705,nba.t.6,nba.t.1,https://sports.yahoo.com/nba/atlanta-hawks-dallas-mavericks-2017101806/,Thu, 19 Oct 2017 00:30:00,4391
2017101826,nba.g.1947145,nba.t.26,nba.t.7,https://sports.yahoo.com/nba/denver-nuggets-utah-jazz-2017101826/,Thu, 19 Oct 2017 01:00:00,4391
2017101824,nba.g.1948151,nba.t.24,nba.t.16,https://sports.yahoo.com/nba/minnesota-timberwolves-san-antonio-spurs-2017101824/,Thu, 19 Oct 2017 01:30:00,4391
2017101821,nba.g.1947244,nba.t.21,nba.t.22,https://sports.yahoo.com/nba/portland-trail-blazers-phoenix-suns-2017101821/,Thu, 19 Oct 2017 02:00:00,4391
2017101823,nba.g.1947578,nba.t.23,nba.t.10,https://sports.yahoo.com/nba/houston-rockets-sacramento-kings-2017101823/,Thu, 19 Oct 2017 02:00:00,4391
2017101826,nba.g.1947145,nba.t.26,nba.t.7,https://sports.yahoo.com/nba/denver-nuggets-utah-jazz-2017101826/,Thu, 19 Oct 2017 01:00:00,4392
2017101824,nba.g.1948151,nba.t.24,nba.t.16,https://sports.yahoo.com/nba/minnesota-timberwolves-san-antonio-spurs-2017101824/,Thu, 19 Oct 2017 01:30:00,4392
2017101821,nba.g.1947244,nba.t.21,nba.t.22,https://sports.yahoo.com/nba/portland-trail-blazers-phoenix-suns-2017101821/,Thu, 19 Oct 2017 02:00:00,4392
2017101823,nba.g.1947578,nba.t.23,nba.t.10,https://sports.yahoo.com/nba/houston-rockets-sacramento-kings-2017101823/,Thu, 19 Oct 2017 02:00:00,4392
