milwaukee,43.8,91.2,48.0,13.9,38.4,36.2,18.0,24.3,74.2,9.6,42.6,52.2,26.2,14.4,7.4,6.2,19.0,119.6,38.6,94.1,41.0,13.8,38.8,35.5,16.0,20.5,78.0,9.6,36.1,45.7,23.7,13.8,7.3,4.6,21.3,106.9,nba.t.15,Milwaukee Bucks
houston,41.4,91.0,45.5,15.6,44.4,35.1,20.4,25.9,78.7,10.4,35.0,45.4,21.4,14.0,8.4,5.2,21.5,118.8,42.3,92.0,45.9,12.2,35.3,34.4,17.4,22.8,76.4,11.1,35.8,46.9,25.4,15.0,7.9,5.0,20.9,114.1,nba.t.10,Houston Rockets
dallas,41.6,89.8,46.3,15.3,41.3,37.0,18.2,23.4,77.7,10.7,36.4,47.1,24.4,12.1,6.0,4.9,19.3,116.6,41.2,91.1,45.2,11.8,34.3,34.4,16.3,21.4,76.2,10.9,34.5,45.4,23.5,11.4,7.0,3.9,20.9,110.4,nba.t.6,Dallas Mavericks
la-clippers,41.8,89.9,46.5,12.1,32.9,36.9,20.5,26.0,79.1,11.0,36.9,47.9,24.1,14.2,7.2,5.1,22.0,116.2,39.6,90.5,43.7,12.2,35.2,34.6,18.7,24.5,76.1,11.0,34.6,45.6,23.8,13.8,8.0,4.9,22.8,110.0,nba.t.12,Los Angeles Clippers
washington,42.4,91.7,46.3,12.1,32.7,36.9,19.0,24.2,78.4,10.2,31.9,42.1,25.4,13.4,8.0,4.3,22.4,115.9,43.5,89.3,48.7,12.6,33.5,37.5,20.3,26.4,77.0,10.9,35.7,46.7,25.3,15.5,7.4,5.0,22.2,119.9,nba.t.27,Washington Wizards
new-orleans,42.4,91.8,46.2,14.0,37.5,37.3,17.0,23.1,73.4,11.1,35.7,46.8,26.8,15.6,7.5,5.2,20.9,115.8,42.9,92.2,46.6,12.0,33.7,35.6,19.1,24.3,78.4,10.1,35.0,45.1,24.5,13.6,8.4,4.7,20.6,116.9,nba.t.3,New Orleans Pelicans
la-lakers,43.1,88.6,48.6,11.2,31.2,35.8,17.2,23.7,72.5,10.7,35.4,46.1,26.1,14.6,8.6,6.9,20.4,114.5,39.2,87.7,44.6,11.2,32.6,34.4,17.6,22.6,77.6,9.7,32.4,42.1,23.4,14.9,8.2,3.8,21.3,107.1,nba.t.13,Los Angeles Lakers
boston,41.3,89.3,46.3,12.4,33.9,36.6,18.4,22.9,80.1,10.5,35.5,46.0,23.0,13.1,8.2,5.6,21.4,113.4,38.2,86.7,44.1,11.7,34.3,34.1,18.4,24.3,76.0,10.1,34.0,44.1,22.2,14.5,7.0,5.5,20.5,106.6,nba.t.2,Boston Celtics
portland,41.7,91.2,45.7,12.5,33.7,36.9,17.2,21.6,79.8,10.2,35.3,45.6,19.9,12.6,6.0,6.2,21.5,113.0,41.7,92.1,45.3,13.1,35.0,37.5,18.8,24.5,76.7,11.7,36.0,47.7,24.5,12.3,6.9,5.1,19.7,115.4,nba.t.22,Portland Trail Blazers
san-antonio,42.1,89.7,46.9,10.5,28.5,36.8,18.3,22.7,80.4,9.2,35.8,45.0,24.5,12.1,7.0,5.4,19.1,112.9,42.1,90.0,46.8,13.0,34.9,37.3,17.2,22.4,77.1,9.3,36.2,45.5,25.7,12.4,6.9,4.5,19.6,114.5,nba.t.24,San Antonio Spurs
